instance,best,literature,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0
scenario_n100_l100_d0.20_instance01,10.3,10.3,18.291666666666668,25.416666666666668,35.041666666666664,25.416666666666668,13.583333333333334,13.458333333333334,13.214285714285714
scenario_n100_l100_d0.50_instance01,4.7,4.7,14.958333333333334,23.958333333333332,34.833333333333336,22.333333333333332,8.083333333333334,8.083333333333334,9.285714285714286
scenario_n100_l100_d0.80_instance01,3.0,3.0,13.375,23.833333333333332,34.416666666666664,21.791666666666668,6.916666666666667,6.916666666666667,8.5
scenario_n100_l125_d0.20_instance01,11.3,11.3,21.416666666666668,29.583333333333332,39.583333333333336,28.458333333333332,15.125,14.958333333333334,15.714285714285714
scenario_n100_l125_d0.50_instance01,5.4,5.4,17.541666666666668,28.125,39.291666666666664,26.0,10.083333333333334,10.041666666666666,11.571428571428571
scenario_n100_l125_d0.80_instance01,4.0,4.0,15.833333333333334,28.541666666666668,39.458333333333336,24.833333333333332,8.75,8.583333333333334,10.571428571428571
scenario_n100_l25_d0.20_instance01,4.5,4.5,6.541666666666667,8.458333333333334,12.166666666666666,8.666666666666666,5.166666666666667,5.041666666666667,5.071428571428571
scenario_n100_l25_d0.50_instance01,2.0,2.0,4.958333333333333,7.625,11.791666666666666,7.5,2.7916666666666665,2.7916666666666665,3.0
scenario_n100_l25_d0.80_instance01,1.8,1.8,4.5,7.625,11.708333333333334,7.333333333333333,2.4166666666666665,2.4166666666666665,2.7142857142857144
scenario_n100_l50_d0.20_instance01,6.9,6.9,10.708333333333334,14.833333333333334,21.416666666666668,15.083333333333334,8.041666666666666,8.083333333333334,7.928571428571429
scenario_n100_l50_d0.50_instance01,3.0,3.0,8.333333333333334,13.625,20.958333333333332,13.541666666666666,4.625,4.625,4.857142857142857
scenario_n100_l50_d0.80_instance01,2.0,2.0,7.625,13.75,21.25,13.0,3.9166666666666665,3.9166666666666665,4.428571428571429
Média,,4.908333333333333,12.006944444444445,18.78125,26.826388888888886,17.82986111111111,7.458333333333335,7.409722222222222,8.071428571428571
