instance,literature,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0
scenario_n100_l100_d0.20_instance01,122420.0,2.7521071428571426,172.6859642857143,194.6171,223.0336857142857,1857.222914285714,1831.3094785714286,1785.254764285714
scenario_n100_l100_d0.50_instance01,50860.0,2.8877214285714286,238.9078857142857,270.4245785714285,301.06160714285716,2543.370521428572,2493.3703,2419.042285714286
scenario_n100_l100_d0.80_instance01,37190.0,3.525592857142857,316.74145,352.58830714285716,382.74978571428574,3297.3406,3254.8692357142854,3149.945078571429
scenario_n100_l125_d0.20_instance01,227380.0,3.457257142857143,214.79236428571429,252.46434285714284,289.2034357142857,2391.1226142857145,2335.2056857142857,2261.777164285714
scenario_n100_l125_d0.50_instance01,99210.0,3.3848642857142854,282.6512785714286,327.76685,368.6129642857143,3031.8929214285713,2952.527935714286,2853.3733785714285
scenario_n100_l125_d0.80_instance01,1750.0,3.8987285714285713,359.24705714285716,410.40707142857144,454.41510714285715,3818.0292285714286,3726.2318142857143,3618.1608285714287
scenario_n100_l25_d0.20_instance01,1860.0,1.0886357142857144,81.67704285714285,80.69649285714286,81.14490714285714,777.8225357142858,780.2178714285714,779.0734857142858
scenario_n100_l25_d0.50_instance01,310.0,1.8348499999999999,152.81802857142858,153.62339285714285,155.74890714285715,1492.120557142857,1484.3672000000001,1478.83835
scenario_n100_l25_d0.80_instance01,280.0,2.819114285714286,228.61080714285714,229.37575714285714,230.44123571428574,2220.2978714285714,2220.8102214285714,2215.7880714285716
scenario_n100_l50_d0.20_instance01,15150.0,1.41155,104.36845714285712,108.13907857142858,113.7890142857143,1048.6711714285716,1044.3074714285715,1036.6592928571429
scenario_n100_l50_d0.50_instance01,104990.0,2.119385714285714,176.0397,182.6134642857143,188.3448142857143,1751.5115214285713,1744.4272071428572,1729.5534714285714
scenario_n100_l50_d0.80_instance01,5560.0,2.871064285714286,253.71791428571427,259.34085714285715,267.57065,2520.272821428571,2510.5198714285716,2478.0479571428573
Média,55580.0,2.670905952380952,215.18816249999998,235.17144107142852,254.67634285714283,2229.1396065476188,2198.1803577380956,2150.459510714286
